Timestamp,Score,Are you employed or unemployed?,What is your GPA? (Please check on Websmart for your actual GPA. JUST NUMBERS PLEASE)
4/3/2023 12:06:42,,Employed,4
4/3/2023 12:06:54,,Unemployed,3.5
4/3/2023 12:10:33,,Employed,3.5
4/3/2023 12:12:32,,Employed,3.4
4/3/2023 12:18:42,,Employed,4
4/3/2023 12:20:34,,Unemployed,4.1
4/3/2023 12:22:40,,Unemployed,2.8
4/3/2023 12:26:32,,Unemployed,2.2
4/3/2023 12:31:41,,Employed,2.1
4/3/2023 12:33:02,,Employed,3.3
4/3/2023 12:36:54,,Employed,3.95
4/3/2023 12:39:55,,Unemployed,3.5
4/3/2023 13:00:18,,Employed,2
4/3/2023 13:08:28,,Unemployed,3.3
4/3/2023 13:08:35,,Unemployed,3.7
4/3/2023 13:09:22,,Employed,3.55
4/3/2023 13:20:37,,Unemployed,4.17
4/3/2023 13:33:28,,Employed,4
4/3/2023 13:44:27,,Unemployed,3.06
4/3/2023 13:44:42,,Unemployed,4
4/3/2023 13:44:58,,Unemployed,2.82
4/3/2023 13:50:35,,Employed,3.57
4/3/2023 14:01:02,,Employed,3.6
4/3/2023 14:06:10,,Employed,3.75
4/3/2023 15:59:40,,Employed,3.6
4/3/2023 16:02:19,,Employed,3.8
4/3/2023 16:16:35,,Employed,3.6
4/3/2023 16:54:44,,Employed,3.48
4/3/2023 17:21:56,,Unemployed,3.4
4/3/2023 17:33:11,,Employed,3.2
